output,feature_set,model,n_train,n_test,r2,rmse,mae,rmse_mean_base,rmse_pers_base,skill_vs_mean,skill_vs_pers,error_type
Stage1.M4,ctrl+lag,ridge,9545,4111,0.8452,0.0932,0.054,1.3978,0.0936,0.9333,0.0038,variability
Stage1.M4,ctrl+lag,rf,9545,4111,-0.0978,0.2482,0.1945,1.3978,0.0936,0.8224,-1.6526,variability
Stage1.M4,ctrl+lag,hgb,9545,4111,-0.1488,0.2539,0.2004,1.3978,0.0936,0.8183,-1.7135,variability
Stage1.M6,controlled,ridge,6512,2811,-0.5814,0.9599,0.7689,0.8333,0.5864,-0.152,-0.6369,bias
Stage1.M6,controlled,rf,6512,2811,-0.4644,0.9237,0.6877,0.8333,0.5864,-0.1085,-0.5751,bias
Stage1.M6,controlled,hgb,6512,2811,-0.517,0.9401,0.6529,0.8333,0.5864,-0.1283,-0.6032,bias
Stage1.M6,ctrl+measured,ridge,6512,2811,-0.8563,1.04,0.652,0.8333,0.5864,-0.2481,-0.7735,bias
Stage1.M6,ctrl+measured,rf,6512,2811,-4.4393,1.7802,1.7402,0.8333,0.5864,-1.1364,-2.0358,bias
Stage1.M6,ctrl+measured,hgb,6512,2811,-1.4064,1.1841,1.0796,0.8333,0.5864,-0.421,-1.0192,bias
Stage1.M6,ctrl+lag,ridge,5274,2280,0.4146,0.4831,0.1652,0.7367,0.6651,0.3443,0.2737,bias
Stage1.M6,ctrl+lag,rf,5274,2280,0.3653,0.503,0.2394,0.7367,0.6651,0.3173,0.2437,bias
Stage1.M6,ctrl+lag,hgb,5274,2280,0.2161,0.559,0.288,0.7367,0.6651,0.2413,0.1595,bias
Stage1.M8,controlled,ridge,9267,3992,-3.031,0.1393,0.1186,0.0736,0.0414,-0.8925,-2.3642,bias
Stage1.M8,controlled,rf,9267,3992,-2.4563,0.129,0.1043,0.0736,0.0414,-0.7524,-2.1152,bias
Stage1.M8,controlled,hgb,9267,3992,-9.8353,0.2283,0.1866,0.0736,0.0414,-2.1028,-4.5157,bias
Stage1.M8,ctrl+measured,ridge,9267,3992,-11.7337,0.2475,0.2189,0.0736,0.0414,-2.3636,-4.9794,bias
Stage1.M8,ctrl+measured,rf,9267,3992,-2.565,0.131,0.0957,0.0736,0.0414,-0.7798,-2.1638,bias
Stage1.M8,ctrl+measured,hgb,9267,3992,-6.1792,0.1858,0.1432,0.0736,0.0414,-1.5256,-3.4897,bias
Stage1.M8,ctrl+lag,ridge,9175,3952,0.6118,0.0434,0.024,0.0722,0.0416,0.3983,-0.0447,bias
Stage1.M8,ctrl+lag,rf,9175,3952,0.1637,0.0637,0.0352,0.0722,0.0416,0.1168,-0.5333,bias
Stage1.M8,ctrl+lag,hgb,9175,3952,-2.7263,0.1345,0.108,0.0722,0.0416,-0.8643,-2.2367,bias
Stage1.M9,controlled,ridge,9305,4008,-1.8451,0.259,0.213,0.1569,0.0811,-0.6508,-2.1943,bias
Stage1.M9,controlled,rf,9305,4008,-4.075,0.3459,0.2937,0.1569,0.0811,-1.2048,-3.2662,bias
Stage1.M9,controlled,hgb,9305,4008,-3.6135,0.3298,0.2778,0.1569,0.0811,-1.1022,-3.0676,bias
Stage1.M9,ctrl+measured,ridge,9305,4008,-10.0886,0.5113,0.442,0.1569,0.0811,-2.259,-5.3062,bias
Stage1.M9,ctrl+measured,rf,9305,4008,-0.4153,0.1827,0.1302,0.1569,0.0811,-0.1643,-1.253,bias
Stage1.M9,ctrl+measured,hgb,9305,4008,-0.9731,0.2157,0.1588,0.1569,0.0811,-0.3748,-1.6601,bias
Stage1.M9,ctrl+lag,ridge,9229,3975,0.4455,0.1131,0.0926,0.1551,0.0812,0.2705,-0.3938,bias
Stage1.M9,ctrl+lag,rf,9229,3975,0.6975,0.0836,0.0645,0.1551,0.0812,0.4612,-0.0295,bias
Stage1.M9,ctrl+lag,hgb,9229,3975,0.6526,0.0896,0.07,0.1551,0.0812,0.4226,-0.1032,bias
Stage1.M10,controlled,ridge,9625,4145,-0.2011,0.0915,0.0732,0.2092,0.0326,0.5625,-1.8063,bias
Stage1.M10,controlled,rf,9625,4145,-2.9271,0.1655,0.1444,0.2092,0.0326,0.209,-4.0745,bias
Stage1.M10,controlled,hgb,9625,4145,-1.3743,0.1287,0.1057,0.2092,0.0326,0.385,-2.9456,bias
Stage1.M10,ctrl+measured,ridge,9625,4145,-0.0625,0.0861,0.0705,0.2092,0.0326,0.5886,-1.6395,bias
Stage1.M10,ctrl+measured,rf,9625,4145,-3.2554,0.1723,0.1498,0.2092,0.0326,0.1766,-4.2823,bias
Stage1.M10,ctrl+measured,hgb,9625,4145,-1.4143,0.1298,0.1067,0.2092,0.0326,0.3798,-2.9788,bias
Stage1.M10,ctrl+lag,ridge,9429,4062,-2.3154,0.1477,0.1308,0.209,0.0328,0.2935,-3.5048,bias
Stage1.M10,ctrl+lag,rf,9429,4062,0.75,0.0405,0.0272,0.209,0.0328,0.806,-0.2369,bias
Stage1.M10,ctrl+lag,hgb,9429,4062,0.7027,0.0442,0.028,0.209,0.0328,0.7884,-0.3491,bias
Stage1.M12,controlled,ridge,7576,3267,-0.9231,0.07,0.0572,0.1558,0.0364,0.5505,-0.9264,bias
Stage1.M12,controlled,rf,7576,3267,-0.3379,0.0584,0.0479,0.1558,0.0364,0.6251,-0.6068,bias
Stage1.M12,controlled,hgb,7576,3267,-12.8779,0.1881,0.1364,0.1558,0.0364,-0.2076,-4.175,bias
Stage1.M12,ctrl+measured,ridge,7576,3267,-0.1385,0.0539,0.0414,0.1558,0.0364,0.6541,-0.4822,bias
Stage1.M12,ctrl+measured,rf,7576,3267,-2.529,0.0949,0.0799,0.1558,0.0364,0.3911,-1.6096,bias
Stage1.M12,ctrl+measured,hgb,7576,3267,-2.889,0.0996,0.0789,0.1558,0.0364,0.3608,-1.7395,bias
Stage1.M12,ctrl+lag,ridge,7149,3084,0.5993,0.0321,0.0225,0.1348,0.0354,0.7621,0.0947,bias
Stage1.M12,ctrl+lag,rf,7149,3084,0.1662,0.0463,0.0361,0.1348,0.0354,0.6568,-0.3059,bias
Stage1.M12,ctrl+lag,hgb,7149,3084,-2.5053,0.0948,0.0649,0.1348,0.0354,0.2962,-1.6776,bias
Stage1.M13,controlled,ridge,9572,4122,-613.5032,1.6922,1.4752,0.5631,0.0441,-2.005,-37.3586,variability
Stage1.M13,controlled,rf,9572,4122,-4.3471,0.1579,0.1395,0.5631,0.0441,0.7197,-2.5782,variability
Stage1.M13,controlled,hgb,9572,4122,-2.0394,0.119,0.0986,0.5631,0.0441,0.7887,-1.6977,variability
Stage1.M13,ctrl+measured,ridge,9572,4122,-113.8061,0.7314,0.5898,0.5631,0.0441,-0.2989,-15.5799,variability
Stage1.M13,ctrl+measured,rf,9572,4122,-9.9949,0.2264,0.1829,0.5631,0.0441,0.598,-4.1309,variability
Stage1.M13,ctrl+measured,hgb,9572,4122,-4.7411,0.1636,0.1315,0.5631,0.0441,0.7095,-2.7077,variability
Stage1.M13,ctrl+lag,ridge,9381,4041,-19.9139,0.3096,0.2758,0.5274,0.0444,0.413,-5.9687,variability
Stage1.M13,ctrl+lag,rf,9381,4041,-5.2326,0.169,0.1229,0.5274,0.0444,0.6795,-2.8042,variability
Stage1.M13,ctrl+lag,hgb,9381,4041,-3.7308,0.1472,0.0846,0.5274,0.0444,0.7208,-2.3144,variability
Stage1.M14,controlled,ridge,6301,2721,-1.2762,1.0591,0.7848,0.768,0.8461,-0.379,-0.2518,bias
Stage1.M14,controlled,rf,6301,2721,-2.4756,1.3087,1.2041,0.768,0.8461,-0.704,-0.5468,bias
Stage1.M14,controlled,hgb,6301,2721,-0.6905,0.9127,0.73,0.768,0.8461,-0.1884,-0.0788,bias
Stage1.M14,ctrl+measured,ridge,6301,2721,-2.3571,1.2862,1.1227,0.768,0.8461,-0.6747,-0.5202,bias
Stage1.M14,ctrl+measured,rf,6301,2721,-2.4456,1.303,1.1838,0.768,0.8461,-0.6966,-0.5401,bias
Stage1.M14,ctrl+measured,hgb,6301,2721,-1.1225,1.0227,0.8613,0.768,0.8461,-0.3316,-0.2088,bias
Stage1.M14,ctrl+lag,ridge,4958,2145,0.273,0.4695,0.1455,0.5874,0.5457,0.2008,0.1398,bias
Stage1.M14,ctrl+lag,rf,4958,2145,0.434,0.4142,0.1084,0.5874,0.5457,0.2949,0.241,bias
Stage1.M14,ctrl+lag,hgb,4958,2145,0.4058,0.4244,0.1309,0.5874,0.5457,0.2775,0.2223,bias
Stage2.M0,controlled,ridge,8954,3858,-17.6525,0.8278,0.7409,0.2592,0.2531,-2.1934,-2.2706,bias
Stage2.M0,controlled,rf,8954,3858,-0.0557,0.1969,0.1032,0.2592,0.2531,0.2403,0.2219,bias
Stage2.M0,controlled,hgb,8954,3858,-0.0466,0.1961,0.1032,0.2592,0.2531,0.2436,0.2253,bias
Stage2.M0,ctrl+measured,ridge,8954,3858,-13.5337,0.7307,0.6445,0.2592,0.2531,-1.8189,-1.887,bias
Stage2.M0,ctrl+measured,rf,8954,3858,-0.1144,0.2023,0.1094,0.2592,0.2531,0.2194,0.2006,bias
Stage2.M0,ctrl+measured,hgb,8954,3858,-0.1193,0.2028,0.1102,0.2592,0.2531,0.2177,0.1988,bias
Stage2.M0,ctrl+lag,ridge,8099,3491,-4.0633,0.2723,0.2402,0.1938,0.1395,-0.4054,-0.9523,bias
Stage2.M0,ctrl+lag,rf,8099,3491,-0.0581,0.1245,0.1,0.1938,0.1395,0.3575,0.1075,bias
Stage2.M0,ctrl+lag,hgb,8099,3491,-0.1779,0.1314,0.1052,0.1938,0.1395,0.3221,0.0584,bias
Stage2.M1,controlled,ridge,9337,4022,-17.2754,1.5306,1.4026,0.4906,0.2033,-2.1198,-6.5295,bias
