output,feature_set,model,n_train,n_test,r2,rmse,mae,rmse_mean_base,rmse_pers_base,skill_vs_mean,skill_vs_pers,error_type
Stage2.M13,controlled,ridge,9676,4167,-18.1724,0.5418,0.4862,0.3548,0.1166,-0.527,-3.6468,bias
Stage2.M13,controlled,rf,9676,4167,-1.1922,0.1832,0.1295,0.3548,0.1166,0.4837,-0.5713,bias
Stage2.M13,controlled,hgb,9676,4167,-0.8557,0.1686,0.1131,0.3548,0.1166,0.5249,-0.4457,bias
Stage2.M13,ctrl+measured,ridge,9676,4167,-10.4008,0.4178,0.3721,0.3548,0.1166,-0.1775,-2.5833,bias
Stage2.M13,ctrl+measured,rf,9676,4167,-3.6886,0.2679,0.2353,0.3548,0.1166,0.2449,-1.2979,bias
Stage2.M13,ctrl+measured,hgb,9676,4167,-3.8947,0.2738,0.2395,0.3548,0.1166,0.2285,-1.3479,bias
Stage2.M13,ctrl+lag,ridge,9278,3996,0.556,0.0531,0.0414,0.3338,0.0611,0.841,0.1317,bias
Stage2.M13,ctrl+lag,rf,9278,3996,-0.5818,0.1002,0.0812,0.3338,0.0611,0.6999,-0.6389,bias
Stage2.M13,ctrl+lag,hgb,9278,3996,-5.3975,0.2015,0.1541,0.3338,0.0611,0.3964,-2.296,bias
Stage2.M14,controlled,ridge,9171,3951,-21.6822,1.3281,1.1853,0.4457,0.2776,-1.98,-3.7846,bias
Stage2.M14,controlled,rf,9171,3951,-0.2218,0.3082,0.1996,0.4457,0.2776,0.3084,-0.1105,bias
Stage2.M14,controlled,hgb,9171,3951,-0.1146,0.2944,0.1968,0.4457,0.2776,0.3394,-0.0606,bias
Stage2.M14,ctrl+measured,ridge,9171,3951,-30.4958,1.565,1.3895,0.4457,0.2776,-2.5115,-4.6381,bias
Stage2.M14,ctrl+measured,rf,9171,3951,-0.1193,0.295,0.1909,0.4457,0.2776,0.338,-0.0629,bias
Stage2.M14,ctrl+measured,hgb,9171,3951,-0.0912,0.2913,0.2036,0.4457,0.2776,0.3464,-0.0495,bias
Stage2.M14,ctrl+lag,ridge,8513,3669,-0.0848,0.2905,0.2136,0.4126,0.2437,0.2959,-0.1923,bias
Stage2.M14,ctrl+lag,rf,8513,3669,0.3741,0.2207,0.1309,0.4126,0.2437,0.4652,0.0944,bias
Stage2.M14,ctrl+lag,hgb,8513,3669,0.3521,0.2245,0.1376,0.4126,0.2437,0.4558,0.0785,bias
