output,error_type,driver,active,cv_pct,r,n,n_eff,p_naive,p_eff,abs_r,sig_naive,sig_eff,q_eff,sig_fdr
Stage2.M3,variability,Machine1.MotorRPM,evet,5.74,-0.737,13312,12.7,0.0,0.0033,0.737,True,False,0.0264,False
Stage2.M3,variability,Machine1.ExitZoneTemperature,evet,2.71,-0.7188,13312,15.1,0.0,0.0016,0.7188,True,False,0.0167,False
Stage2.M3,variability,Machine2.Zone1Temperature,hayir,0.08,-0.0484,13312,314.3,0.0,0.3928,0.0484,True,False,0.6058,False
Stage2.M3,variability,Machine2.Zone2Temperature,hayir,0.16,0.0215,13312,720.6,0.01315,0.5647,0.0215,True,False,0.7443,False
Stage2.M3,variability,Machine2.MotorRPM,hayir,0.21,0.0009,13312,13312.0,0.921315,0.9213,0.0009,False,False,0.9621,False
Stage2.M3,variability,Machine2.ExitZoneTemperature,hayir,0.27,0.0021,13312,13312.0,0.804987,0.805,0.0021,False,False,0.8814,False
Stage2.M3,variability,Machine3.Zone1Temperature,hayir,0.1,0.2266,13312,135.9,0.0,0.0079,0.2266,True,True,0.0482,True
Stage2.M3,variability,Machine3.Zone2Temperature,hayir,0.15,0.0209,13312,4364.7,0.015688,0.1666,0.0209,True,False,0.3548,False
Stage2.M3,variability,Machine3.MotorRPM,evet,3.28,0.777,13312,13.9,0.0,0.0006,0.777,True,False,0.0075,False
Stage2.M3,variability,Machine3.ExitZoneTemperature,hayir,0.1,0.1655,13312,238.5,0.0,0.0103,0.1655,True,True,0.0582,False
Stage2.M3,variability,Combiner.Temperature3,hayir,0.15,0.0038,13312,3283.0,0.657684,0.8259,0.0038,False,False,0.895,False
Stage2.M3,variability,Machine4.Temperature1,hayir,0.64,0.0416,13312,2525.0,2e-06,0.0365,0.0416,True,True,0.1303,False
Stage2.M3,variability,Machine4.Temperature2,hayir,0.82,0.0611,13312,1616.6,0.0,0.0139,0.0611,True,True,0.0685,False
Stage2.M3,variability,Machine4.Pressure,evet,5.46,-0.3467,13312,31.1,0.0,0.055,0.3467,True,False,0.1774,False
Stage2.M3,variability,Machine4.Temperature3,evet,1.15,-0.4486,13312,14.3,0.0,0.1037,0.4486,True,False,0.2671,False
Stage2.M3,variability,Machine4.Temperature5,hayir,0.92,-0.4131,13312,15.2,0.0,0.1247,0.4131,True,False,0.2982,False
Stage2.M3,variability,Machine5.Temperature1,hayir,0.01,0.013,13312,2716.9,0.132207,0.4966,0.013,False,False,0.6882,False
Stage2.M3,variability,Machine5.Temperature2,hayir,0.02,0.0092,13312,1210.7,0.286437,0.7481,0.0092,False,False,0.8506,False
Stage2.M3,variability,Machine5.Temperature3,hayir,0.38,-0.366,13312,24.1,0.0,0.0776,0.366,True,False,0.2229,False
Stage2.M3,variability,Machine5.Temperature4,hayir,0.66,-0.6941,13312,15.0,0.0,0.003,0.6941,True,False,0.0245,False
Stage2.M3,variability,Machine5.Temperature5,hayir,0.04,-0.0156,13312,1361.4,0.072177,0.5657,0.0156,False,False,0.7443,False
Stage2.M3,variability,Machine5.Temperature6,hayir,0.63,-0.2726,13312,20.3,0.0,0.2445,0.2726,True,False,0.4448,False
Stage2.M5,variability,Machine1.Zone1Temperature,hayir,0.09,-0.2792,13896,64.4,0.0,0.0246,0.2792,True,True,0.1024,False
Stage2.M5,variability,Machine1.Zone2Temperature,hayir,0.56,-0.0103,13896,13896.0,0.223628,0.2236,0.0103,False,False,0.4167,False
Stage2.M5,variability,Machine1.MotorRPM,evet,5.74,0.6501,13896,19.5,0.0,0.0016,0.6501,True,False,0.0167,False
Stage2.M5,variability,Machine1.ExitZoneTemperature,evet,2.71,0.4461,13896,23.2,0.0,0.0309,0.4461,True,False,0.1169,False
Stage2.M5,variability,Machine2.Zone1Temperature,hayir,0.08,0.063,13896,447.7,0.0,0.1836,0.063,True,False,0.37,False
Stage2.M5,variability,Machine2.Zone2Temperature,hayir,0.16,0.0235,13896,849.5,0.005617,0.4943,0.0235,True,False,0.6881,False
Stage2.M5,variability,Machine2.MotorRPM,hayir,0.21,0.0119,13896,13896.0,0.160479,0.1605,0.0119,False,False,0.3544,False
Stage2.M5,variability,Machine2.ExitZoneTemperature,hayir,0.27,-0.0037,13896,13896.0,0.663931,0.6639,0.0037,False,False,0.8031,False
Stage2.M5,variability,Machine3.Zone1Temperature,hayir,0.1,-0.1707,13896,164.3,0.0,0.0286,0.1707,True,True,0.1128,False
Stage2.M5,variability,Machine3.Zone2Temperature,hayir,0.15,-0.0224,13896,4242.4,0.008402,0.1454,0.0224,True,False,0.3305,False
Stage2.M5,variability,Machine3.MotorRPM,evet,3.28,-0.6011,13896,21.3,0.0,0.003,0.6011,True,False,0.0245,False
Stage2.M5,variability,Machine3.ExitZoneTemperature,hayir,0.1,-0.1247,13896,314.6,0.0,0.0269,0.1247,True,True,0.1075,False
Stage2.M5,variability,Combiner.Temperature3,hayir,0.15,0.0102,13896,3195.6,0.227349,0.5628,0.0102,False,False,0.744,False
Stage2.M5,variability,Machine4.Temperature1,hayir,0.64,-0.0305,13896,1273.4,0.000323,0.2768,0.0305,True,False,0.4894,False
Stage2.M5,variability,Machine4.Temperature2,hayir,0.82,0.0351,13896,1180.4,3.5e-05,0.2282,0.0351,True,False,0.4213,False
Stage2.M5,variability,Machine4.Pressure,evet,5.46,0.3127,13896,47.2,0.0,0.0314,0.3127,True,True,0.1169,False
Stage2.M5,variability,Machine4.Temperature3,evet,1.15,0.5282,13896,21.2,0.0,0.0121,0.5282,True,False,0.0638,False
Stage2.M5,variability,Machine4.Temperature5,hayir,0.92,0.5129,13896,22.3,0.0,0.0129,0.5129,True,False,0.0666,False
Stage2.M5,variability,Machine5.Temperature1,hayir,0.01,-0.0479,13896,2455.1,0.0,0.0176,0.0479,True,True,0.0813,False
Stage2.M5,variability,Machine5.Temperature2,hayir,0.02,-0.0295,13896,1824.7,0.000514,0.2085,0.0295,True,False,0.4009,False
Stage2.M5,variability,Machine5.Temperature3,hayir,0.38,0.3887,13896,31.9,0.0,0.0275,0.3887,True,True,0.1095,False
Stage2.M5,variability,Machine5.Temperature4,hayir,0.66,0.6121,13896,22.5,0.0,0.0016,0.6121,True,False,0.0167,False
Stage2.M5,variability,Machine5.Temperature5,hayir,0.04,-0.0034,13896,1790.6,0.68837,0.8856,0.0034,False,False,0.9438,False
Stage2.M5,variability,Machine5.Temperature6,hayir,0.63,0.1955,13896,30.4,0.0,0.3002,0.1955,True,False,0.512,False
Stage2.M7,belirsiz,Machine1.Zone1Temperature,hayir,0.09,-0.2099,13739,293.2,0.0,0.0003,0.2099,True,True,0.0048,True
Stage2.M7,belirsiz,Machine1.Zone2Temperature,hayir,0.56,-0.0225,13739,3737.2,0.008433,0.1696,0.0225,True,False,0.3561,False
Stage2.M7,belirsiz,Machine1.MotorRPM,evet,5.74,0.0821,13739,246.1,0.0,0.1995,0.0821,True,False,0.3912,False
Stage2.M7,belirsiz,Machine1.ExitZoneTemperature,evet,2.71,0.0076,13739,247.1,0.374715,0.9058,0.0076,False,False,0.9539,False
Stage2.M7,belirsiz,Machine2.Zone1Temperature,hayir,0.08,0.0095,13739,1135.4,0.26557,0.7492,0.0095,False,False,0.8506,False
Stage2.M7,belirsiz,Machine2.Zone2Temperature,hayir,0.16,-0.0502,13739,1869.9,0.0,0.03,0.0502,True,True,0.1153,False
Stage2.M7,belirsiz,Machine2.MotorRPM,hayir,0.21,-0.0046,13739,13739.0,0.591285,0.5913,0.0046,False,False,0.7613,False
Stage2.M7,belirsiz,Machine2.ExitZoneTemperature,hayir,0.27,0.0066,13739,12685.0,0.439244,0.4574,0.0066,False,False,0.6726,False
Stage2.M7,belirsiz,Machine3.Zone1Temperature,hayir,0.1,-0.2446,13739,448.9,0.0,0.0,0.2446,True,True,0.0,True
Stage2.M7,belirsiz,Machine3.Zone2Temperature,hayir,0.15,-0.0111,13739,8146.4,0.191723,0.3148,0.0111,False,False,0.5264,False
Stage2.M7,belirsiz,Machine3.MotorRPM,evet,3.28,-0.0647,13739,245.3,0.0,0.3132,0.0647,True,False,0.5264,False
Stage2.M7,belirsiz,Machine3.ExitZoneTemperature,hayir,0.1,-0.1444,13739,964.1,0.0,0.0,0.1444,True,True,0.0002,True
Stage2.M7,belirsiz,Combiner.Temperature3,hayir,0.15,-0.0123,13739,6972.7,0.148988,0.304,0.0123,False,False,0.5167,False
Stage2.M7,belirsiz,Machine4.Temperature1,hayir,0.64,-0.059,13739,2745.6,0.0,0.002,0.059,True,True,0.0188,True
Stage2.M7,belirsiz,Machine4.Temperature2,hayir,0.82,-0.0662,13739,3062.1,0.0,0.0002,0.0662,True,True,0.0044,True
Stage2.M7,belirsiz,Machine4.Pressure,evet,5.46,0.0246,13739,562.1,0.003987,0.5613,0.0246,True,False,0.744,False
Stage2.M7,belirsiz,Machine4.Temperature3,evet,1.15,0.1811,13739,242.4,0.0,0.0046,0.1811,True,True,0.033,True
Stage2.M7,belirsiz,Machine4.Temperature5,hayir,0.92,0.1882,13739,246.2,0.0,0.003,0.1882,True,True,0.0245,True
Stage2.M7,belirsiz,Machine5.Temperature1,hayir,0.01,-0.0046,13739,6233.5,0.589442,0.7163,0.0046,False,False,0.8362,False
Stage2.M7,belirsiz,Machine5.Temperature2,hayir,0.02,0.012,13739,3274.4,0.158697,0.4915,0.012,False,False,0.6876,False
Stage2.M7,belirsiz,Machine5.Temperature3,hayir,0.38,0.3572,13739,224.1,0.0,0.0,0.3572,True,True,0.0,True
Stage2.M7,belirsiz,Machine5.Temperature4,hayir,0.66,0.1969,13739,233.6,0.0,0.0024,0.1969,True,True,0.0219,True
Stage2.M7,belirsiz,Machine5.Temperature5,hayir,0.04,0.0095,13739,3383.4,0.264675,0.58,0.0095,False,False,0.7517,False
Stage2.M7,belirsiz,Machine5.Temperature6,hayir,0.63,-0.2146,13739,222.4,0.0,0.0012,0.2146,True,True,0.0141,True
Stage2.M8,belirsiz,Machine1.Zone1Temperature,hayir,0.09,-0.0371,13111,301.7,2.1e-05,0.5208,0.0371,True,False,0.7119,False
Stage2.M8,belirsiz,Machine1.Zone2Temperature,hayir,0.56,-0.0216,13111,13111.0,0.013267,0.0133,0.0216,True,True,0.0678,False
Stage2.M8,belirsiz,Machine1.MotorRPM,evet,5.74,0.0893,13111,68.9,0.0,0.4672,0.0893,True,False,0.6754,False
Stage2.M8,belirsiz,Machine1.ExitZoneTemperature,evet,2.71,-0.0795,13111,81.0,0.0,0.4818,0.0795,True,False,0.684,False
Stage2.M8,belirsiz,Machine2.Zone1Temperature,hayir,0.08,0.0091,13111,1287.9,0.297571,0.7443,0.0091,False,False,0.8506,False
Stage2.M8,belirsiz,Machine2.Zone2Temperature,hayir,0.16,-0.0308,13111,2580.6,0.000417,0.1176,0.0308,True,False,0.2902,False
Stage2.M8,belirsiz,Machine2.MotorRPM,hayir,0.21,0.0051,13111,13111.0,0.555799,0.5558,0.0051,False,False,0.744,False
Stage2.M8,belirsiz,Machine2.ExitZoneTemperature,hayir,0.27,0.0076,13111,9697.4,0.382224,0.4524,0.0076,False,False,0.6669,False
Stage2.M8,belirsiz,Machine3.Zone1Temperature,hayir,0.1,-0.0639,13111,1440.7,0.0,0.0153,0.0639,True,True,0.0733,False
Stage2.M8,belirsiz,Machine3.Zone2Temperature,hayir,0.15,0.005,13111,7269.2,0.567274,0.6702,0.005,False,False,0.8058,False
Stage2.M8,belirsiz,Machine3.MotorRPM,evet,3.28,0.0257,13111,74.7,0.003209,0.8274,0.0257,True,False,0.895,False
Stage2.M8,belirsiz,Machine3.ExitZoneTemperature,hayir,0.1,-0.0328,13111,1788.5,0.000173,0.1658,0.0328,True,False,0.3548,False
Stage2.M8,belirsiz,Combiner.Temperature3,hayir,0.15,-0.0118,13111,5021.0,0.176205,0.4027,0.0118,False,False,0.6179,False
Stage2.M8,belirsiz,Machine4.Temperature1,hayir,0.64,-0.0273,13111,3927.7,0.001754,0.0869,0.0273,True,False,0.2402,False
Stage2.M8,belirsiz,Machine4.Temperature2,hayir,0.82,-0.0215,13111,4752.5,0.013831,0.1384,0.0215,True,False,0.3206,False
Stage2.M8,belirsiz,Machine4.Pressure,evet,5.46,0.0483,13111,160.9,0.0,0.5432,0.0483,True,False,0.7341,False
Stage2.M8,belirsiz,Machine4.Temperature3,evet,1.15,0.0655,13111,78.9,0.0,0.568,0.0655,True,False,0.7457,False
Stage2.M8,belirsiz,Machine4.Temperature5,hayir,0.92,0.0514,13111,85.5,0.0,0.6402,0.0514,True,False,0.7872,False
Stage2.M8,belirsiz,Machine5.Temperature1,hayir,0.01,-0.0093,13111,5844.1,0.285199,0.4756,0.0093,False,False,0.6794,False
Stage2.M8,belirsiz,Machine5.Temperature2,hayir,0.02,0.0004,13111,3739.1,0.967991,0.9829,0.0004,False,False,0.9925,False
Stage2.M8,belirsiz,Machine5.Temperature3,hayir,0.38,0.1013,13111,138.9,0.0,0.2359,0.1013,True,False,0.4341,False
Stage2.M8,belirsiz,Machine5.Temperature4,hayir,0.66,-0.0475,13111,78.2,0.0,0.6804,0.0475,True,False,0.8132,False
Stage2.M8,belirsiz,Machine5.Temperature5,hayir,0.04,0.0293,13111,3305.7,0.000784,0.0918,0.0293,True,False,0.2528,False
Stage2.M8,belirsiz,Machine5.Temperature6,hayir,0.63,-0.152,13111,85.7,0.0,0.1637,0.152,True,False,0.3544,False
Stage2.M9,variability,Machine1.Zone1Temperature,hayir,0.09,-0.3314,9876,112.5,0.0,0.0003,0.3314,True,True,0.0051,True
Stage2.M9,variability,Machine1.Zone2Temperature,hayir,0.56,-0.0133,9876,9876.0,0.186523,0.1865,0.0133,False,False,0.3706,False
Stage2.M9,variability,Machine1.MotorRPM,evet,5.74,0.1295,9876,46.2,0.0,0.3919,0.1295,True,False,0.6058,False
Stage2.M9,variability,Machine1.ExitZoneTemperature,evet,2.71,0.1984,9876,117.4,0.0,0.0315,0.1984,True,True,0.1169,False
Stage2.M9,variability,Machine2.Zone1Temperature,hayir,0.08,0.0587,9876,536.0,0.0,0.175,0.0587,True,False,0.3605,False
Stage2.M9,variability,Machine2.Zone2Temperature,hayir,0.16,-0.0091,9876,1229.4,0.366457,0.7503,0.0091,False,False,0.8506,False
Stage2.M9,variability,Machine2.MotorRPM,hayir,0.21,0.0045,9876,9876.0,0.652296,0.6523,0.0045,False,False,0.7945,False
Stage2.M9,variability,Machine2.ExitZoneTemperature,hayir,0.27,0.0061,9876,9876.0,0.545745,0.5457,0.0061,False,False,0.7346,False
Stage2.M9,variability,Machine3.Zone1Temperature,hayir,0.1,-0.0554,9876,488.4,0.0,0.2217,0.0554,True,False,0.4145,False
Stage2.M9,variability,Machine3.Zone2Temperature,hayir,0.15,-0.0128,9876,5651.7,0.201843,0.3343,0.0128,False,False,0.5469,False
Stage2.M9,variability,Machine3.MotorRPM,evet,3.28,-0.2293,9876,53.0,0.0,0.0989,0.2293,True,False,0.2598,False
Stage2.M9,variability,Machine3.ExitZoneTemperature,hayir,0.1,-0.0312,9876,660.5,0.001922,0.4234,0.0312,True,False,0.6399,False
Stage2.M9,variability,Combiner.Temperature3,hayir,0.15,-0.0112,9876,4559.2,0.266992,0.4508,0.0112,False,False,0.6662,False
Stage2.M9,variability,Machine4.Temperature1,hayir,0.64,-0.1026,9876,1219.6,0.0,0.0003,0.1026,True,True,0.0052,True
Stage2.M9,variability,Machine4.Temperature2,hayir,0.82,-0.0665,9876,2884.4,0.0,0.0003,0.0665,True,True,0.0052,True
Stage2.M9,variability,Machine4.Pressure,evet,5.46,-0.0015,9876,107.7,0.878972,0.9875,0.0015,False,False,0.9925,False
Stage2.M9,variability,Machine4.Temperature3,evet,1.15,0.3738,9876,44.4,0.0,0.0115,0.3738,True,True,0.0615,False
Stage2.M9,variability,Machine4.Temperature5,hayir,0.92,0.3986,9876,47.0,0.0,0.0051,0.3986,True,True,0.0356,True
Stage2.M9,variability,Machine5.Temperature1,hayir,0.01,-0.0189,9876,3769.7,0.060236,0.2458,0.0189,False,False,0.4455,False
Stage2.M9,variability,Machine5.Temperature2,hayir,0.02,-0.0209,9876,1777.6,0.037827,0.3786,0.0209,True,False,0.5962,False
Stage2.M9,variability,Machine5.Temperature3,hayir,0.38,0.5258,9876,64.0,0.0,0.0,0.5258,True,True,0.0002,True
Stage2.M9,variability,Machine5.Temperature4,hayir,0.66,0.4771,9876,50.3,0.0,0.0004,0.4771,True,True,0.0052,True
Stage2.M9,variability,Machine5.Temperature5,hayir,0.04,0.0027,9876,1825.7,0.791077,0.9094,0.0027,False,False,0.9539,False
Stage2.M9,variability,Machine5.Temperature6,hayir,0.63,0.0982,9876,59.4,0.0,0.4595,0.0982,True,False,0.6734,False
Stage2.M10,variability,Machine1.Zone1Temperature,hayir,0.09,-0.3115,13450,137.0,0.0,0.0002,0.3115,True,True,0.0036,True
Stage2.M10,variability,Machine1.Zone2Temperature,hayir,0.56,0.0029,13450,1514.1,0.732364,0.9087,0.0029,False,False,0.9539,False
Stage2.M10,variability,Machine1.MotorRPM,evet,5.74,-0.2947,13450,47.6,0.0,0.0424,0.2947,True,True,0.1462,False
Stage2.M10,variability,Machine1.ExitZoneTemperature,evet,2.71,-0.2438,13450,54.6,0.0,0.0738,0.2438,True,False,0.2171,False
Stage2.M10,variability,Machine2.Zone1Temperature,hayir,0.08,-0.0045,13450,447.7,0.598916,0.9238,0.0045,False,False,0.9623,False
Stage2.M10,variability,Machine2.Zone2Temperature,hayir,0.16,-0.0007,13450,850.4,0.933584,0.9833,0.0007,False,False,0.9925,False
Stage2.M10,variability,Machine2.MotorRPM,hayir,0.21,-0.0086,13450,13450.0,0.317575,0.3176,0.0086,False,False,0.5293,False
Stage2.M10,variability,Machine2.ExitZoneTemperature,hayir,0.27,-0.0021,13450,13450.0,0.808806,0.8088,0.0021,False,False,0.8819,False
Stage2.M10,variability,Machine3.Zone1Temperature,hayir,0.1,-0.0868,13450,363.1,0.0,0.0986,0.0868,True,False,0.2598,False
Stage2.M10,variability,Machine3.Zone2Temperature,hayir,0.15,-0.0172,13450,6113.0,0.046613,0.1798,0.0172,True,False,0.367,False
Stage2.M10,variability,Machine3.MotorRPM,evet,3.28,0.2602,13450,51.4,0.0,0.0639,0.2602,True,False,0.1986,False
Stage2.M10,variability,Machine3.ExitZoneTemperature,hayir,0.1,-0.0194,13450,391.3,0.024741,0.7028,0.0194,True,False,0.8301,False
Stage2.M10,variability,Combiner.Temperature3,hayir,0.15,-0.0045,13450,2853.1,0.600037,0.8092,0.0045,False,False,0.8819,False
Stage2.M10,variability,Machine4.Temperature1,hayir,0.64,-0.1139,13450,602.8,0.0,0.0051,0.1139,True,True,0.0356,True
Stage2.M10,variability,Machine4.Temperature2,hayir,0.82,-0.0388,13450,1832.9,7e-06,0.0966,0.0388,True,False,0.258,False
Stage2.M10,variability,Machine4.Pressure,evet,5.46,-0.203,13450,112.0,0.0,0.0316,0.203,True,True,0.1169,False
Stage2.M10,variability,Machine4.Temperature3,evet,1.15,0.0073,13450,52.9,0.400148,0.9591,0.0073,False,False,0.9821,False
Stage2.M10,variability,Machine4.Temperature5,hayir,0.92,0.059,13450,56.6,0.0,0.6655,0.059,True,False,0.8034,False
Stage2.M10,variability,Machine5.Temperature1,hayir,0.01,-0.0093,13450,3244.4,0.282221,0.5975,0.0093,False,False,0.7644,False
Stage2.M10,variability,Machine5.Temperature2,hayir,0.02,0.0274,13450,1503.1,0.001467,0.288,0.0274,True,False,0.5009,False
Stage2.M10,variability,Machine5.Temperature3,hayir,0.38,0.3958,13450,77.9,0.0,0.0003,0.3958,True,True,0.0048,True
Stage2.M10,variability,Machine5.Temperature4,hayir,0.66,-0.064,13450,53.3,0.0,0.6496,0.064,True,False,0.7938,False
Stage2.M10,variability,Machine5.Temperature5,hayir,0.04,-0.0015,13450,1356.0,0.860818,0.9556,0.0015,False,False,0.9821,False
Stage2.M10,variability,Machine5.Temperature6,hayir,0.63,-0.3516,13450,58.4,0.0,0.0063,0.3516,True,True,0.0411,True
Stage2.M11,variability,Machine1.Zone1Temperature,hayir,0.09,-0.1417,13457,61.0,0.0,0.2775,0.1417,True,False,0.4894,False
Stage2.M11,variability,Machine1.Zone2Temperature,hayir,0.56,-0.0107,13457,13457.0,0.212876,0.2129,0.0107,False,False,0.4029,False
Stage2.M11,variability,Machine1.MotorRPM,evet,5.74,-0.608,13457,14.1,0.0,0.0186,0.608,True,False,0.0832,False
Stage2.M11,variability,Machine1.ExitZoneTemperature,evet,2.71,-0.373,13457,16.8,0.0,0.1451,0.373,True,False,0.3305,False
Stage2.M11,variability,Machine2.Zone1Temperature,hayir,0.08,-0.0537,13457,325.6,0.0,0.3345,0.0537,True,False,0.5469,False
Stage2.M11,variability,Machine2.Zone2Temperature,hayir,0.16,-0.0193,13457,811.1,0.024789,0.5822,0.0193,True,False,0.7529,False
Stage2.M11,variability,Machine2.MotorRPM,hayir,0.21,-0.0059,13457,13457.0,0.490387,0.4904,0.0059,False,False,0.6876,False
Stage2.M11,variability,Machine2.ExitZoneTemperature,hayir,0.27,0.0063,13457,13457.0,0.467005,0.467,0.0063,False,False,0.6754,False
Stage2.M11,variability,Machine3.Zone1Temperature,hayir,0.1,-0.0189,13457,398.0,0.028395,0.7072,0.0189,True,False,0.8304,False
Stage2.M11,variability,Machine3.Zone2Temperature,hayir,0.15,-0.0043,13457,5117.3,0.617164,0.7579,0.0043,False,False,0.8518,False
Stage2.M11,variability,Machine3.MotorRPM,evet,3.28,0.5579,13457,15.5,0.0,0.0262,0.5579,True,False,0.1055,False
Stage2.M11,variability,Machine3.ExitZoneTemperature,hayir,0.1,0.009,13457,495.6,0.294424,0.841,0.009,False,False,0.9062,False
Stage2.M11,variability,Combiner.Temperature3,hayir,0.15,0.0007,13457,3668.3,0.932492,0.9647,0.0007,False,False,0.9844,False
Stage2.M11,variability,Machine4.Temperature1,hayir,0.64,-0.087,13457,1191.0,0.0,0.0026,0.087,True,True,0.0229,True
Stage2.M11,variability,Machine4.Temperature2,hayir,0.82,-0.0488,13457,3400.9,0.0,0.0044,0.0488,True,True,0.0325,True
Stage2.M11,variability,Machine4.Pressure,evet,5.46,-0.486,13457,33.5,0.0,0.0034,0.486,True,True,0.0269,True
Stage2.M11,variability,Machine4.Temperature3,evet,1.15,-0.3865,13457,16.1,0.0,0.1407,0.3865,True,False,0.3235,False
Stage2.M11,variability,Machine4.Temperature5,hayir,0.92,-0.3078,13457,17.4,0.0,0.2281,0.3078,True,False,0.4213,False
Stage2.M11,variability,Machine5.Temperature1,hayir,0.01,0.0048,13457,2564.2,0.581429,0.8099,0.0048,False,False,0.8819,False
Stage2.M11,variability,Machine5.Temperature2,hayir,0.02,0.0322,13457,1441.6,0.000186,0.2217,0.0322,True,False,0.4145,False
Stage2.M11,variability,Machine5.Temperature3,hayir,0.38,0.1958,13457,26.6,0.0,0.3356,0.1958,True,False,0.5472,False
Stage2.M11,variability,Machine5.Temperature4,hayir,0.66,-0.2962,13457,16.3,0.0,0.2651,0.2962,True,False,0.4749,False
Stage2.M11,variability,Machine5.Temperature5,hayir,0.04,0.0083,13457,1336.3,0.333373,0.7607,0.0083,False,False,0.8518,False
Stage2.M11,variability,Machine5.Temperature6,hayir,0.63,-0.3983,13457,18.3,0.0,0.0996,0.3983,True,False,0.2599,False
Stage2.M12,variability,Machine1.Zone1Temperature,hayir,0.09,-0.5005,13819,66.3,0.0,0.0,0.5005,True,True,0.0004,True
Stage2.M12,variability,Machine1.Zone2Temperature,hayir,0.56,-0.0199,13819,3219.7,0.019186,0.2585,0.0199,True,False,0.4657,False
Stage2.M12,variability,Machine1.MotorRPM,evet,5.74,0.1258,13819,35.3,0.0,0.4723,0.1258,True,False,0.678,False
Stage2.M12,variability,Machine1.ExitZoneTemperature,evet,2.71,0.0226,13819,39.0,0.007778,0.892,0.0226,True,False,0.9489,False
Stage2.M12,variability,Machine2.Zone1Temperature,hayir,0.08,0.034,13819,375.1,6.4e-05,0.5116,0.034,True,False,0.7024,False
Stage2.M12,variability,Machine2.Zone2Temperature,hayir,0.16,-0.0791,13819,745.3,0.0,0.0307,0.0791,True,True,0.1169,False
Stage2.M12,variability,Machine2.MotorRPM,hayir,0.21,-0.0044,13819,13819.0,0.602473,0.6025,0.0044,False,False,0.7675,False
Stage2.M12,variability,Machine2.ExitZoneTemperature,hayir,0.27,-0.0085,13819,13819.0,0.319304,0.3193,0.0085,False,False,0.5307,False
Stage2.M12,variability,Machine3.Zone1Temperature,hayir,0.1,-0.4411,13819,142.6,0.0,0.0,0.4411,True,True,0.0,True
Stage2.M12,variability,Machine3.Zone2Temperature,hayir,0.15,-0.0222,13819,7375.9,0.009038,0.0565,0.0222,True,False,0.1797,False
Stage2.M12,variability,Machine3.MotorRPM,evet,3.28,-0.1202,13819,36.9,0.0,0.4821,0.1202,True,False,0.684,False
Stage2.M12,variability,Machine3.ExitZoneTemperature,hayir,0.1,-0.2716,13819,308.8,0.0,0.0,0.2716,True,True,0.0,True
Stage2.M12,variability,Combiner.Temperature3,hayir,0.15,-0.0016,13819,5155.8,0.850597,0.9084,0.0016,False,False,0.9539,False
Stage2.M12,variability,Machine4.Temperature1,hayir,0.64,-0.0922,13819,1432.8,0.0,0.0005,0.0922,True,True,0.0064,True
Stage2.M12,variability,Machine4.Temperature2,hayir,0.82,-0.0946,13819,1795.8,0.0,0.0001,0.0946,True,True,0.0015,True
Stage2.M12,variability,Machine4.Pressure,evet,5.46,-0.0136,13819,84.1,0.109315,0.9024,0.0136,False,False,0.9539,False
Stage2.M12,variability,Machine4.Temperature3,evet,1.15,0.4528,13819,36.8,0.0,0.0045,0.4528,True,True,0.0329,True
Stage2.M12,variability,Machine4.Temperature5,hayir,0.92,0.4767,13819,38.0,0.0,0.0021,0.4767,True,True,0.02,True
Stage2.M12,variability,Machine5.Temperature1,hayir,0.01,-0.0246,13819,3092.2,0.00379,0.171,0.0246,True,False,0.3561,False
Stage2.M12,variability,Machine5.Temperature2,hayir,0.02,0.0249,13819,1550.2,0.003386,0.3268,0.0249,True,False,0.5401,False
Stage2.M12,variability,Machine5.Temperature3,hayir,0.38,0.8037,13819,43.7,0.0,0.0,0.8037,True,True,0.0,True
Stage2.M12,variability,Machine5.Temperature4,hayir,0.66,0.4568,13819,37.2,0.0,0.0039,0.4568,True,True,0.0298,True
Stage2.M12,variability,Machine5.Temperature5,hayir,0.04,0.0132,13819,1607.2,0.119872,0.5961,0.0132,False,False,0.7644,False
Stage2.M12,variability,Machine5.Temperature6,hayir,0.63,-0.4401,13819,41.3,0.0,0.0035,0.4401,True,True,0.0274,True
Stage2.M13,bias,Machine1.Zone1Temperature,hayir,0.09,-0.1429,13892,58.2,0.0,0.2849,0.1429,True,False,0.4984,False
Stage2.M13,bias,Machine1.Zone2Temperature,hayir,0.56,-0.0075,13892,13892.0,0.377009,0.377,0.0075,False,False,0.5953,False
Stage2.M13,bias,Machine1.MotorRPM,evet,5.74,0.7028,13892,16.3,0.0,0.0015,0.7028,True,False,0.016,False
Stage2.M13,bias,Machine1.ExitZoneTemperature,evet,2.71,0.4532,13892,19.5,0.0,0.0469,0.4532,True,False,0.1573,False
Stage2.M13,bias,Machine2.Zone1Temperature,hayir,0.08,0.0534,13892,399.1,0.0,0.287,0.0534,True,False,0.5006,False
Stage2.M13,bias,Machine2.Zone2Temperature,hayir,0.16,0.0086,13892,869.4,0.308927,0.7994,0.0086,False,False,0.8785,False
Stage2.M13,bias,Machine2.MotorRPM,hayir,0.21,0.0115,13892,13892.0,0.175424,0.1754,0.0115,False,False,0.3605,False
Stage2.M13,bias,Machine2.ExitZoneTemperature,hayir,0.27,0.0086,13892,13892.0,0.310791,0.3108,0.0086,False,False,0.5238,False
