column,role,stage,machine,dtype,n_unique,note,min,max,mean,std,zero_pct,n_changes
Stage1.Output.Measurement4.U.Actual,output_actual,stage1_out,-,float64,466,,-7.689,34.76,33.288,1.2151,1.2,6087.0
Stage1.Output.Measurement4.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,32.55,32.421,2.0482,0.4,5.0
Stage1.Output.Measurement5.U.Actual,output_actual,stage1_out,-,float64,92,,-0.58,4.96,2.544,0.7087,95.1,662.0
Stage1.Output.Measurement5.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,2.74,2.729,0.1724,0.4,5.0
Stage1.Output.Measurement6.U.Actual,output_actual,stage1_out,-,float64,327,,-0.746,7.03,2.008,0.7677,33.4,4736.0
Stage1.Output.Measurement6.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,4.25,4.233,0.2674,0.4,5.0
Stage1.Output.Measurement7.U.Actual,output_actual,stage1_out,-,float64,52,,-0.76,5.19,2.91,0.1404,62.2,2000.0
Stage1.Output.Measurement7.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,2.97,2.958,0.1869,0.4,5.0
Stage1.Output.Measurement8.U.Actual,output_actual,stage1_out,-,float64,115,,-0.0,22.46,20.907,0.3727,5.5,5178.0
Stage1.Output.Measurement8.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,21.3,21.215,1.3403,0.4,5.0
Stage1.Output.Measurement9.U.Actual,output_actual,stage1_out,-,float64,226,,-0.004,20.45,18.936,0.4361,5.1,5828.0
Stage1.Output.Measurement9.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,19.52,19.442,1.2283,0.4,5.0
Stage1.Output.Measurement10.U.Actual,output_actual,stage1_out,-,float64,146,,-0.001,13.07,7.831,0.1858,1.9,5908.0
Stage1.Output.Measurement10.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,8.65,8.616,0.5443,0.4,5.0
Stage1.Output.Measurement11.U.Actual,output_actual,stage1_out,-,float64,110,,-0.0,7.47,5.8,0.3732,74.3,1479.0
Stage1.Output.Measurement11.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,6.16,6.136,0.3876,0.4,5.0
Stage1.Output.Measurement12.U.Actual,output_actual,stage1_out,-,float64,122,,-0.0,3.95,1.555,0.1493,22.6,4822.0
Stage1.Output.Measurement12.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,2.02,2.012,0.1271,0.4,5.0
Stage1.Output.Measurement13.U.Actual,output_actual,stage1_out,-,float64,243,,-1.225,6.91,2.953,0.8345,2.4,5659.0
Stage1.Output.Measurement13.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,3.16,3.147,0.1988,0.4,5.0
Stage1.Output.Measurement14.U.Actual,output_actual,stage1_out,-,float64,295,,-6.549,22.302,15.418,0.9252,35.5,4573.0
Stage1.Output.Measurement14.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,17.72,17.65,1.115,0.4,5.0
Machine4.Temperature1.C.Actual,controlled,stage2,M4,float64,81,,298.0,393.0,360.124,2.2878,0.0,1191.0
Machine4.Temperature2.C.Actual,controlled,stage2,M4,float64,84,,284.0,396.0,360.135,2.9572,0.0,1385.0
Machine4.Pressure.C.Actual,controlled,stage2,M4,float64,56,,14.0,25.0,17.226,0.9411,0.0,7152.0
Machine4.Temperature3.C.Actual,controlled,stage2,M4,float64,70,,268.0,327.0,322.612,3.7133,0.0,820.0
Machine4.Temperature4.C.Actual,controlled,stage2,M4,float64,56,DUSURULDU (R3) - Machine4.Pressure ile birebir ozdes,14.0,25.0,17.226,0.9411,0.0,7152.0
Machine4.Temperature5.C.Actual,controlled,stage2,M4,float64,69,,260.0,326.0,309.782,2.8599,0.0,627.0
Machine4.ExitTemperature.U.Actual,measured,stage2,M4,float64,122,,35.0,216.0,187.14,23.6531,0.0,6041.0
Machine5.Temperature1.C.Actual,controlled,stage2,M5,float64,21,,309.4,310.3,309.998,0.0392,0.0,517.0
Machine5.Temperature2.C.Actual,controlled,stage2,M5,float64,27,,289.7,290.3,289.998,0.0519,0.0,543.0
Machine5.Temperature3.C.Actual,controlled,stage2,M5,float64,69,,263.8,270.0,269.679,1.0309,0.0,104.0
Machine5.Temperature4.C.Actual,controlled,stage2,M5,float64,85,,237.6,245.0,242.66,1.591,0.0,368.0
Machine5.Temperature5.C.Actual,controlled,stage2,M5,float64,35,,242.9,245.7,244.995,0.1056,0.0,290.0
Machine5.Temperature6.C.Actual,controlled,stage2,M5,float64,49,,62.8,66.1,63.421,0.4022,0.0,285.0
Machine5.ExitTemperature.U.Actual,measured,stage2,M5,float64,310,,45.4,159.2,153.98,10.308,0.0,12729.0
Stage2.Output.Measurement0.U.Actual,output_actual,stage2_out,-,float64,246,,-0.0,19.064,12.808,0.3193,8.7,10823.0
Stage2.Output.Measurement0.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,12.05,12.05,12.05,0.0,0.0,1.0
Stage2.Output.Measurement1.U.Actual,output_actual,stage2_out,-,float64,523,,-0.0,12.86,6.577,0.798,4.8,11177.0
Stage2.Output.Measurement1.U.Setpoint,output_setpoint,stage2_out,-,float64,1,,11.71,11.71,11.71,0.0,0.0,1.0
Stage2.Output.Measurement2.U.Actual,output_actual,stage2_out,-,float64,490,,-0.0,16.54,10.71,0.8142,4.3,10906.0
Stage2.Output.Measurement2.U.Setpoint,output_setpoint,stage2_out,-,int64,1,,11.0,11.0,11.0,0.0,0.0,1.0
